tableName,delimited pKeys
WM_ASN,LOCATION_ID|WM_ASN_ID
WM_ASN_DETAIL,LOCATION_ID|WM_ASN_DETAIL_ID
WM_ASN_DETAIL_STATUS,LOCATION_ID|WM_ASN_DETAIL_STATUS
WM_ASN_STATUS,LOCATION_ID|WM_ASN_STATUS
WM_BUSINESS_PARTNER,LOCATION_ID|WM_TC_COMPANY_ID|WM_BUSINESS_PARTNER_ID
WM_CARRIER_CODE,LOCATION_ID|WM_CARRIER_ID
WM_COMMODITY_CODE,LOCATION_ID|WM_COMMODITY_CD_ID
WM_C_LEADER_AUDIT,LOCATION_ID|WM_C_LEADER_AUDIT_ID
WM_C_TMS_PLAN,LOCATION_ID|WM_C_TMS_PLAN_ID
WM_DOCK_DOOR,LOCATION_ID|WM_DOCK_DOOR_ID
WM_DO_STATUS,LOCATION_ID|WM_ORDER_STATUS_ID
WM_EQUIPMENT,LOCATION_ID|WM_EQUIPMENT_ID
WM_EQUIPMENT_INSTANCE,LOCATION_ID|WM_EQUIPMENT_INSTANCE_ID
WM_E_ACT,LOCATION_ID|WM_ACT_ID
WM_E_ACT_ELM,LOCATION_ID|WM_ACT_ID|WM_ELM_ID
WM_E_ACT_ELM_CRIT,LOCATION_ID|WM_ACT_ID|WM_ELM_ID|WM_CRIT_ID|WM_CRIT_VAL_ID
WM_E_AUD_LOG,LOCATION_ID|WM_AUD_ID
WM_E_CRIT_VAL,LOCATION_ID|WM_CRIT_VAL_ID|WM_CRIT_ID
WM_E_ELM,LOCATION_ID|WM_ELM_ID
WM_E_ELM_CRIT,LOCATION_ID|WM_ELM_ID|WM_CRIT_ID|WM_CRIT_VAL_ID
WM_E_EMP_DTL,LOCATION_ID|WM_EMP_DTL_ID
WM_E_EMP_STAT_CODE,LOCATION_ID|WM_EMP_STAT_ID
WM_E_EVNT_SMRY_HDR,LOCATION_ID|WM_ELS_TRAN_ID
WM_E_JOB_FUNCTION,LOCATION_ID|WM_JOB_FUNCTION_ID
WM_E_LABOR_TYPE_CODE,LOCATION_ID|WM_LABOR_TYPE_ID
WM_E_MSRMNT,LOCATION_ID|WM_MSRMNT_ID
WM_E_MSRMNT_RULE,LOCATION_ID|WM_MSRMNT_ID|WM_RULE_NBR
WM_E_MSRMNT_RULE_CALC,LOCATION_ID|WM_MSRMNT_ID|WM_RULE_NBR|CALC_SEQ_NBR
WM_E_MSRMNT_RULE_CONDITION,LOCATION_ID|WM_MSRMNT_ID|WM_RULE_NBR|RULE_SEQ_NBR
WM_E_SHIFT,LOCATION_ID|WM_SHIFT_ID
WM_FACILITY,LOCATION_ID|WM_FACILITY_ID
WM_ILM_APPOINTMENTS,LOCATION_ID|WM_APPOINTMENT_ID
WM_ILM_APPOINTMENT_OBJECTS,LOCATION_ID|WM_ILM_APPOINTMENT_OBJECTS_ID
WM_ILM_APPOINTMENT_STATUS,LOCATION_ID|WM_ILM_APPT_STATUS_CD
WM_ILM_APPOINTMENT_TYPE,LOCATION_ID|WM_APPT_TYPE_ID
WM_ILM_APPT_EQUIPMENTS,LOCATION_ID|WM_APPOINTMENT_ID|WM_COMPANY_ID|WM_EQUIPMENT_INSTANCE_ID
WM_ILM_TASK_STATUS,LOCATION_ID|WM_ILM_TASK_STATUS
WM_ILM_YARD_ACTIVITY,LOCATION_ID|WM_ACTIVITY_ID
WM_ITEM_CBO,LOCATION_ID|WM_ITEM_ID
WM_ITEM_FACILITY_MAPPING_WMS,LOCATION_ID|WM_ITEM_FACILITY_MAPPING_ID
WM_ITEM_FACILITY_SLOTTING,LOCATION_ID|WM_ITEM_FACILITY_MAPPING_ID
WM_ITEM_GROUP_WMS,LOCATION_ID|WM_ITEM_GROUP_ID
WM_ITEM_PACKAGE_CBO,LOCATION_ID|WM_ITEM_PACKAGE_ID
WM_ITEM_WMS,LOCATION_ID|WM_ITEM_ID
WM_LABOR_ACTIVITY,LOCATION_ID|WM_LABOR_ACTIVITY_ID
WM_LABOR_CRITERIA,LOCATION_ID|WM_CRIT_ID
WM_LABOR_MSG,LOCATION_ID|WM_LABOR_MSG_ID
WM_LABOR_MSG_CRIT,LOCATION_ID|WM_LABOR_MSG_CRIT_ID
WM_LABOR_MSG_DTL,LOCATION_ID|WM_LABOR_MSG_DTL_ID
WM_LABOR_MSG_DTL_CRIT,LOCATION_ID|WM_LABOR_MSG_DTL_CRIT_ID
WM_LABOR_TRAN_DTL_CRIT,LOCATION_ID|WM_LABOR_TRAN_DTL_CRIT_ID
WM_LOCN_GRP,LOCATION_ID|WM_LOCN_GRP_ID
WM_LOCN_HDR,LOCATION_ID|WM_LOCN_HDR_ID
WM_LPN,LOCATION_ID|WM_LPN_ID
WM_LPN_AUDIT_RESULTS,LOCATION_ID|WM_LPN_AUDIT_RESULTS_ID
WM_LPN_DETAIL,LOCATION_ID|WM_LPN_ID|WM_LPN_DETAIL_ID
WM_LPN_FACILITY_STATUS,LOCATION_ID|WM_LPN_FACILITY_STATUS|INBOUND_OUTBOUND_IND
WM_LPN_LOCK,LOCATION_ID|WM_LPN_LOCK_ID
WM_LPN_SIZE_TYPE,LOCATION_ID|WM_LPN_SIZE_TYPE_ID
WM_LPN_STATUS,LOCATION_ID|WM_LPN_STATUS
WM_LPN_TYPE,LOCATION_ID|WM_LPN_TYPE
WM_ORDERS,LOCATION_ID|WM_ORDER_ID
WM_ORDER_LINE_ITEM,LOCATION_ID|WM_ORDER_ID|WM_LINE_ITEM_ID
WM_ORDER_STATUS,LOCATION_ID|WM_ORDER_STATUS_ID
WM_OUTPT_LPN,LOCATION_ID|WM_OUTPT_LPN_ID
WM_OUTPT_LPN_DETAIL,LOCATION_ID|WM_OUTPT_LPN_DETAIL_ID
WM_OUTPT_ORDERS,LOCATION_ID|WM_OUTPT_ORDERS_ID
WM_OUTPT_ORDER_LINE_ITEM,LOCATION_ID|WM_OUTPT_ORDER_LINE_ITEM_ID
WM_PICKING_SHORT_ITEM,LOCATION_ID|WM_PICKING_SHORT_ITEM_ID
WM_PICK_LOCN_DTL,LOCATION_ID|WM_PICK_LOCN_DTL_ID
WM_PICK_LOCN_DTL_SLOTTING,LOCATION_ID|WM_PICK_LOCN_DTL_ID
WM_PICK_LOCN_HDR,LOCATION_ID|WM_PICK_LOCN_HDR_ID
WM_PICK_LOCN_HDR_SLOTTING,LOCATION_ID|WM_PICK_LOCN_HDR_ID
WM_PIX_TRAN,LOCATION_ID|WM_PIX_TRAN_ID
WM_PRODUCT_CLASS,LOCATION_ID|WM_PRODUCT_CLASS_ID
WM_PURCHASE_ORDERS,LOCATION_ID|WM_PURCHASE_ORDERS_ID
WM_PURCHASE_ORDERS_LINE_ITEM,LOCATION_ID|WM_PURCHASE_ORDERS_ID|WM_PURCHASE_ORDERS_LINE_ITEM_ID
WM_PURCHASE_ORDERS_LINE_STATUS,LOCATION_ID|WM_PURCHASE_ORDERS_LINE_STATUS
WM_PURCHASE_ORDERS_STATUS,LOCATION_ID|WM_PURCHASE_ORDERS_STATUS
WM_PUTAWAY_LOCK,LOCATION_ID|WM_LOCN_ID
WM_RACK_TYPE,LOCATION_ID|WM_RACK_TYPE_ID
WM_RACK_TYPE_LEVEL,LOCATION_ID|WM_RACK_LEVEL_ID
WM_RESV_LOCN_HDR,LOCATION_ID|WM_RESV_LOCN_HDR_ID
WM_SEC_USER,LOCATION_ID|WM_SEC_USER_ID
WM_SHIPMENT,LOCATION_ID|WM_SHIPMENT_ID
WM_SHIPMENT_STATUS,LOCATION_ID|WM_SHIPMENT_STATUS
WM_SHIP_VIA,LOCATION_ID|WM_SHIP_VIA_ID
WM_SIZE_UOM,LOCATION_ID|WM_SIZE_UOM_ID
WM_SLOT_ITEM,LOCATION_ID|WM_SLOT_ITEM_ID
WM_SLOT_ITEM_SCORE,LOCATION_ID|WM_SLOT_ITEM_SCORE_ID
WM_STANDARD_UOM,LOCATION_ID|WM_STANDARD_UOM_ID
WM_STOP,LOCATION_ID|WM_SHIPMENT_ID|WM_STOP_SEQ
WM_STOP_STATUS,LOCATION_ID|WM_STOP_STATUS
WM_SYS_CODE,LOCATION_ID|WM_REC_TYPE|WM_CD_TYPE|WM_CD_ID
WM_TASK_DTL,LOCATION_ID|WM_TASK_DTL_ID
WM_TASK_HDR,LOCATION_ID|WM_TASK_HDR_ID
WM_TRAILER_CONTENTS,LOCATION_ID|WM_TRAILER_CONTENTS_ID
WM_TRAILER_REF,LOCATION_ID|WM_TRAILER_ID
WM_TRAILER_TYPE,LOCATION_ID|WM_TRAILER_TYPE_ID
WM_TRAILER_VISIT,LOCATION_ID|WM_VISIT_ID
WM_TRAILER_VISIT_DTL,LOCATION_ID|WM_VISIT_DETAIL_ID
WM_UN_NUMBER,LOCATION_ID|WM_UN_NBR_ID
WM_USER_PROFILE,LOCATION_ID|WM_USER_PROFILE_ID
WM_VEND_PERF_TRAN,LOCATION_ID|WM_VEND_PERF_TRAN_ID
WM_WAVE_PARM,LOCATION_ID|WM_WAVE_PARM_ID
WM_YARD,LOCATION_ID|WM_YARD_ID
WM_YARD_ZONE,LOCATION_ID|WM_YARD_ID|WM_YARD_ZONE_ID
WM_YARD_ZONE_SLOT,LOCATION_ID|WM_YARD_ID|WM_YARD_ZONE_ID|WM_YARD_ZONE_SLOT_ID